model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
XGBoost_grid_1_AutoML_1_20250925_21729_model_1,0.8851400075881941,0.6468047442025137,0.4700270072509699,0.4911392201355027,0.3868646388546336,0.1496642487961261,1265,0.005432,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_6,0.885031777001076,0.6452839601538486,0.4732519207213765,0.4981412639405205,0.3887428933314789,0.1511210371157296,693,0.00621,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_36,0.8841140086004544,0.6501987479682646,0.4693356562537141,0.4929979561949822,0.386266813864972,0.1492020514933969,642,0.006994,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_46,0.8840885006229505,0.6377347559503693,0.4884171575549427,0.4925650557620817,0.3940062848272844,0.1552409524833991,1127,0.007623,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_9,0.8839110624940704,0.6485862340880928,0.4786052089770893,0.4920050210013035,0.3908537263725915,0.1527666354193406,998,0.007538,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_17,0.8837817443926376,0.6426189671542831,0.4755610220886875,0.4929979561949822,0.3898721131257794,0.1520002645931606,537,0.005842,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_52,0.8837384524661029,0.6470107339995815,0.5805550589188239,0.4907063197026022,0.4455436267810577,0.1985091233652184,904,0.006741,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_2,0.8835802135353126,0.6514556075894367,0.4784734903111902,0.4864288128228649,0.3894066032906062,0.1516375026863276,1261,0.008003,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_13,0.883211331320018,0.65246946362188,0.4821741409402346,0.5,0.3906169784991613,0.1525816238918142,1004,0.007067,XGBoost
GBM_4_AutoML_1_20250925_21729,0.882558493979825,0.6461996491736268,0.4964313168825273,0.4888475836431227,0.3907011617306257,0.1526473977776605,1094,0.012629,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_20,0.8825261140773429,0.6438935290236405,0.6140496298462333,0.4897133845089235,0.4617863539895421,0.2132466367309546,899,0.006578,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_31,0.8821501004958273,0.637364618033763,0.6309627271250399,0.5,0.4687283429298113,0.2197062594657268,950,0.006075,XGBoost
GBM_3_AutoML_1_20250925_21729,0.8821266740065569,0.6412204895476271,0.4822679372010773,0.4907063197026022,0.3878470979555804,0.1504253713925655,835,0.015503,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_21,0.8818865074656836,0.6357987737169893,0.5437317794237846,0.5,0.4192286184157869,0.1757526344988094,4126,0.012905,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_19,0.8811859619283319,0.646202867764206,0.5895452382452748,0.4872946136886657,0.4112856270203879,0.1691558669935536,1654,0.011154,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_9,0.8810269964198172,0.6277136741820757,0.5646553640533077,0.4934308566278826,0.4025467315229606,0.1620438710598185,1551,0.015564,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_31,0.8802519714861798,0.6414152142776678,0.4798291426527944,0.5,0.3887793373942623,0.1511493731847216,717,0.010296,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_30,0.8798940969802314,0.6427670223209258,0.4917984270794221,0.4929979561949822,0.3940232298124515,0.1552543056318359,1301,0.007025,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_3,0.879773719421452,0.6406524083104009,0.6731140818859271,0.4952895926873621,0.4127225353085509,0.170339891151518,2776,0.019689,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_3,0.879365428321969,0.6420718067558217,0.4911135813664536,0.4929979561949822,0.3944710712204617,0.1556074260298185,1184,0.006601,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_12,0.8793018393283341,0.6421393971579845,0.4807467794160299,0.4962825278810409,0.391447694739273,0.153231297716691,1001,0.005851,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_4,0.8791157310109329,0.6397930446257584,0.5708773041519772,0.4981412639405205,0.4044017760958829,0.1635407965095046,1452,0.015935,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_35,0.8790789357793986,0.6378602809829576,0.4799811265091841,0.4944237918215613,0.3902936176489638,0.1523291079775156,1277,0.006432,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_11,0.8789206183766453,0.6366549188110526,0.6063830686437998,0.487854648449444,0.4578045198737212,0.2095849784168084,1909,0.006423,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_24,0.8789051191655888,0.6386906773523874,0.6351441688399678,0.493863757060783,0.4100837151910678,0.1681686534649087,2734,0.015043,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_14,0.8784500260549368,0.6375931379648851,0.5905830011887379,0.4915721205684031,0.4497862107087692,0.2023076353437533,1386,0.006701,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_18,0.8782540093572595,0.6328569819276139,0.506060199536339,0.5,0.400079564925304,0.1600636582708205,887,0.007705,XGBoost
GBM_2_AutoML_1_20250925_21729,0.8781355935872307,0.6354656495920437,0.4788647134963154,0.4962825278810409,0.3881160895830574,0.1506340989932438,974,0.011624,GBM
XGBoost_1_AutoML_1_20250925_21729,0.8779851428715746,0.6304510854696728,0.616088868181694,0.4948566922544617,0.4618897890747384,0.2133421772515063,2357,0.00613,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_33,0.8778478954972528,0.6333172403804375,0.4882170070420164,0.4962825278810409,0.3929761854395103,0.1544302823225884,1178,0.007017,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_27,0.8775236479494771,0.6382513397383286,0.4884500965992498,0.5,0.39360125918559,0.1549219512324819,1654,0.007252,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_10,0.8774538446624314,0.6386102125879077,0.4973244845841892,0.4925650557620817,0.3950691682125616,0.1560796476721653,961,0.007643,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_32,0.8773600012601973,0.6212266048697276,0.5303342616515782,0.4892804840760231,0.4032887184264874,0.1626417904100786,1926,0.010463,XGBoost
XGBoost_3_AutoML_1_20250925_21729,0.8772304370213524,0.633832214873107,0.6047991248094089,0.5,0.4564906369845796,0.2083837016545872,951,0.006807,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_39,0.8765844803311671,0.6268398268398269,0.5011153497139851,0.4822784402710053,0.3964938535330859,0.1572073758895161,1476,0.008152,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_17,0.8758957077090136,0.632840888974718,0.4921196049892814,0.4827113407039057,0.3896891614478352,0.151857642549917,649,0.012817,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_5,0.8758534976838698,0.6355300214036274,0.5037779878035427,0.490146284941824,0.3917009085140762,0.1534296017307526,978,0.014468,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_107,0.8756764993817625,0.6327716892772655,0.4945816092449914,0.5,0.3956190627240688,0.1565144427906706,1110,0.008296,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_25,0.8755095709820627,0.6278424178052431,0.5260217339508547,0.4934308566278826,0.3980270263892239,0.1584255137362479,1242,0.014116,GBM
XGBoost_2_AutoML_1_20250925_21729,0.8746142167625011,0.6230161412317545,0.5976478605427523,0.4962825278810409,0.4523154630226056,0.2045892780893541,1336,0.007298,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_8,0.8741658520120689,0.6338611821883198,0.5331823559947684,0.4962825278810409,0.3969605116605902,0.1575776478178376,1529,0.014356,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_4,0.8736135086590603,0.637025056727659,0.5223654878929826,0.4962825278810409,0.4001468713945681,0.160117518686861,1464,0.009291,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_45,0.872734051470292,0.6283509551167544,0.5813450308924523,0.4864288128228649,0.4428932146733743,0.1961543996037156,1328,0.007195,XGBoost
GBM_grid_1_AutoML_1_20250925_21729_model_67,0.8717298490143006,0.6289753616891164,0.5505243153764868,0.4981412639405205,0.4037688839073818,0.1630293116118127,3260,0.0129,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_47,0.8715757512845631,0.6361141955937495,0.496376301187969,0.4962825278810409,0.3953646537113969,0.1563132094043327,1196,0.007767,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_24,0.8713178736061896,0.6263650847293969,0.6061260467751102,0.4948566922544617,0.4565462073193585,0.2084344394176907,861,0.006619,XGBoost
DeepLearning_1_AutoML_1_20250925_21729,0.8704408579616153,0.6457715766265951,0.5228223545876144,0.493863757060783,0.3926177456737333,0.1541486942179243,1805,0.06124,DeepLearning
XGBoost_grid_1_AutoML_1_20250925_21729_model_25,0.8703490138072275,0.6316049501923108,0.5553716786889796,0.4967154283139414,0.4085828034793166,0.1669399072990178,1855,0.010004,XGBoost
DeepLearning_grid_1_AutoML_1_20250925_21729_model_1,0.8695583167031896,0.6274256103252386,0.6316889080503962,0.5,0.4175453752972038,0.1743441404320828,27275,0.018545,DeepLearning
DeepLearning_grid_1_AutoML_1_20250925_21729_model_2,0.8627452051128675,0.6311607846923832,0.6961168324518289,0.5,0.4300514185104754,0.184944222562872,30261,0.028408,DeepLearning
XGBoost_grid_1_AutoML_1_20250925_21729_model_48,0.8624585904526282,0.6112747227988863,0.6164965568169309,0.4962825278810409,0.4582871374807405,0.2100271003802912,768,0.00767,XGBoost
DeepLearning_grid_2_AutoML_1_20250925_21729_model_1,0.8579334843844277,0.6075894365857191,0.8759015283313348,0.5,0.4434430567173208,0.196641744550801,23617,0.013605,DeepLearning
XRT_1_AutoML_1_20250925_21729,0.8556223353261326,0.5873461111379328,0.5109986589532952,0.4981412639405205,0.3983577087751924,0.158688864140621,2567,0.018767,DRF
DeepLearning_grid_3_AutoML_1_20250925_21729_model_1,0.8554003234683658,0.5965673731472988,0.9270267959453212,0.5,0.4583826941840726,0.210114694327449,23661,0.014715,DeepLearning
DeepLearning_grid_1_AutoML_1_20250925_21729_model_4,0.8453053833107093,0.5803505045140733,1.7672601624141369,0.5,0.4636829695062514,0.2150018962101353,28978,0.019151,DeepLearning
DeepLearning_grid_1_AutoML_1_20250925_21729_model_3,0.8432908210659625,0.5883792787138512,1.037543815429277,0.5,0.4575006758673758,0.2093068684191057,33259,0.016491,DeepLearning
