column,in_accepted,accepted_missing,accepted_total,accepted_missing_pct,in_thesis,thesis_missing,thesis_total,thesis_missing_pct,delta_missing_pct
loan_status,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
max_bal_bc,True,866162,2260701,0.3831386813205285,True,866158,2104542,0.4115660319442425,0.028427350623714043
member_id,True,2260701,2260701,1.0,True,2104542,2104542,1.0,0.0
mo_sin_old_il_acct,True,139104,2260701,0.06153135686674178,True,134640,2104542,0.06397591494966601,0.0024445580829242294
mo_sin_old_rev_tl_op,True,70310,2260701,0.031100972662904118,True,70306,2104542,0.03340679349711244,0.0023058208342083206
mo_sin_rcnt_rev_tl_op,True,70310,2260701,0.031100972662904118,True,70306,2104542,0.03340679349711244,0.0023058208342083206
mo_sin_rcnt_tl,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
mort_acc,True,50063,2260701,0.022144901072720363,True,50059,2104542,0.023786172953545237,0.0016412718808248745
mths_since_last_delinq,True,1158535,2260701,0.5124671506758302,True,1082401,2104542,0.5143166541698859,0.0018495034940557709
mths_since_last_major_derog,True,1679926,2260701,0.7430995960987322,True,1567506,2104542,0.7448204882582529,0.0017208921595206483
mths_since_last_record,True,1901545,2260701,0.8411306935326698,True,1774473,2104542,0.8431635006571501,0.0020328071244802848
mths_since_rcnt_il,True,909957,2260701,0.40251099105985266,True,905493,2104542,0.43025655938441715,0.027745568324564485
mths_since_recent_bc,True,73445,2260701,0.032487710670274395,True,71388,2104542,0.033920919611012755,0.0014332089407383605
mths_since_recent_bc_dlq,True,1741000,2260701,0.7701151103131285,True,1622421,2104542,0.7709140516083784,0.0007989412952499331
mths_since_recent_inq,True,295468,2260701,0.13069751373578373,True,277144,2104542,0.13168850989906591,0.0009909961632821873
mths_since_recent_revol_delinq,True,1520342,2260701,0.6725091022651823,True,1418026,2104542,0.6737931578462202,0.0012840555810378351
next_pymnt_d,True,1345343,2260701,0.595099926969555,True,1271808,2104542,0.6043158083801606,0.009215881410605586
num_accts_ever_120_pd,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
num_actv_bc_tl,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
num_actv_rev_tl,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
num_bc_sats,True,58623,2260701,0.02593133722681593,True,58619,2104542,0.02785356623911521,0.0019222290122992806
num_bc_tl,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
num_il_tl,True,70309,2260701,0.03110053032223191,True,70305,2104542,0.03340631833434543,0.0023057880121135216
